#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-8.89	-12.13	-11.69	-10.22	-10000	-10000	1	-8.85	0.434	4.00	-82.81	-100.00	-22.02	-10000	-10000	
-10000	-10000	27.17	24.56	23.72	25.45	11.36	-10000	1	-0.59	0.803	-4.37	-65.48	-100.00	-6.27	-10000	-10000	
-10000	-10000	45.52	43.42	41.35	44.31	38.02	219.11	13	-2.52	0.715	-11.27	-40.20	-100.00	-13.79	56.93	-10000	
207.79	0.705	54.21	51.87	50.40	53.20	46.43	210.43	13	-4.91	0.690	-14.22	-29.85	-100.00	-19.13	56.23	-10000	
205.13	0.788	54.39	52.85	49.14	48.98	52.68	205.03	13	-1.10	0.626	-20.42	-47.88	-100.00	-21.52	55.78	-10000	
205.13	0.880	53.82	52.84	46.87	52.24	48.02	205.03	13	0.16	0.687	-21.97	-30.64	-100.00	-21.80	55.78	-19.87	
202.53	0.760	51.39	50.47	44.21	44.29	50.26	205.03	12	4.52	0.699	-25.03	-39.27	-100.00	-20.51	55.78	-16.69	
202.53	0.789	48.73	47.53	42.54	46.62	44.09	199.89	13	2.23	0.651	-22.41	-35.03	-100.00	-20.18	55.34	-11.19	
197.53	0.721	44.51	42.91	39.40	43.23	38.10	197.48	13	-4.48	0.681	-13.64	-39.32	-100.00	-18.12	55.13	-17.70	
